holc_id,holc_grade,community,NID,POP2010,POP2000,POPCH,POPPERCH,popplus,popneg,neighborhood_area,region_area
C239,C,SOUTH SHORE,43,49767,61556,-11789,-19.151667,0,1,13670285.242615387,322650.9845907602
C240,C,SOUTH SHORE,43,49767,61556,-11789,-19.151667,0,1,13670285.242615387,1099493.2201879858
C241,C,SOUTH SHORE,43,49767,61556,-11789,-19.151667,0,1,13670285.242615387,2336417.81754442
C242,C,SOUTH SHORE,43,49767,61556,-11789,-19.151667,0,1,13670285.242615387,566476.8527348787
C243,C,SOUTH SHORE,43,49767,61556,-11789,-19.151667,0,1,13670285.242615387,627591.8463099449
C244,C,SOUTH SHORE,43,49767,61556,-11789,-19.151667,0,1,13670285.242615387,1333289.0632675719
C245,C,SOUTH SHORE,43,49767,61556,-11789,-19.151667,0,1,13670285.242615387,2258909.1204680046
D89,D,SOUTH SHORE,43,49767,61556,-11789,-19.151667,0,1,13670285.242615387,1544357.906331678
D90,D,SOUTH SHORE,43,49767,61556,-11789,-19.151667,0,1,13670285.242615387,1815892.709349858
B108,B,GREATER GRAND CROSSING,69,32602,38619,-6017,-15.580414,0,1,16518648.65567987,715916.6892655239
B121,B,GREATER GRAND CROSSING,69,32602,38619,-6017,-15.580414,0,1,16518648.65567987,3453104.957840239
C219,C,GREATER GRAND CROSSING,69,32602,38619,-6017,-15.580414,0,1,16518648.65567987,1025283.6649140514
C232,C,GREATER GRAND CROSSING,69,32602,38619,-6017,-15.580414,0,1,16518648.65567987,1432573.5882128412
C236,C,GREATER GRAND CROSSING,69,32602,38619,-6017,-15.580414,0,1,16518648.65567987,2970323.717157967
C237,C,GREATER GRAND CROSSING,69,32602,38619,-6017,-15.580414,0,1,16518648.65567987,4107983.271658326
C238,C,GREATER GRAND CROSSING,69,32602,38619,-6017,-15.580414,0,1,16518648.65567987,3153520.7036485747
D72,D,GREATER GRAND CROSSING,69,32602,38619,-6017,-15.580414,0,1,16518648.65567987,9833387.274804901
D73,D,GREATER GRAND CROSSING,69,32602,38619,-6017,-15.580414,0,1,16518648.65567987,3469460.3779832423
D74,D,GREATER GRAND CROSSING,69,32602,38619,-6017,-15.580414,0,1,16518648.65567987,13420040.554349745
D75,D,GREATER GRAND CROSSING,69,32602,38619,-6017,-15.580414,0,1,16518648.65567987,1657437.0364516666
D78,D,GREATER GRAND CROSSING,69,32602,38619,-6017,-15.580414,0,1,16518648.65567987,919627.4292534458
D79,D,GREATER GRAND CROSSING,69,32602,38619,-6017,-15.580414,0,1,16518648.65567987,657963.1199890979
D83,D,GREATER GRAND CROSSING,69,32602,38619,-6017,-15.580414,0,1,16518648.65567987,13527212.70899754
D87,D,GREATER GRAND CROSSING,69,32602,38619,-6017,-15.580414,0,1,16518648.65567987,905455.8453819465
D89,D,GREATER GRAND CROSSING,69,32602,38619,-6017,-15.580414,0,1,16518648.65567987,1544357.906331678
B108,B,WOODLAWN,42,25983,27086,-1103,-4.072214,0,1,9665705.965535698,715916.6892655239
B109,B,WOODLAWN,42,25983,27086,-1103,-4.072214,0,1,9665705.965535698,520004.83009814407
B110,B,WOODLAWN,42,25983,27086,-1103,-4.072214,0,1,9665705.965535698,1140306.6699213253
C216,C,WOODLAWN,42,25983,27086,-1103,-4.072214,0,1,9665705.965535698,459266.2704708067
C217,C,WOODLAWN,42,25983,27086,-1103,-4.072214,0,1,9665705.965535698,918734.2447079758
C218,C,WOODLAWN,42,25983,27086,-1103,-4.072214,0,1,9665705.965535698,290489.45577239094
C219,C,WOODLAWN,42,25983,27086,-1103,-4.072214,0,1,9665705.965535698,1025283.6649140514
C220,C,WOODLAWN,42,25983,27086,-1103,-4.072214,0,1,9665705.965535698,620900.3155796917
D75,D,WOODLAWN,42,25983,27086,-1103,-4.072214,0,1,9665705.965535698,1657437.0364516666
D78,D,WOODLAWN,42,25983,27086,-1103,-4.072214,0,1,9665705.965535698,919627.4292534458
D79,D,WOODLAWN,42,25983,27086,-1103,-4.072214,0,1,9665705.965535698,657963.1199890979
B112,B,ASHBURN,70,41081,39584,1497,3.781831,1,0,22624043.82847053,121503.73414185779
D84,D,ASHBURN,70,41081,39584,1497,3.781831,1,0,22624043.82847053,15302615.96137275
D85,D,ASHBURN,70,41081,39584,1497,3.781831,1,0,22624043.82847053,524081.2591573334
D91,D,ASHBURN,70,41081,39584,1497,3.781831,1,0,22624043.82847053,622679.5772229043
B113,B,AUBURN GRESHAM,71,48743,55928,-7185,-12.846875,0,1,17546554.268884927,568518.0536953432
B114,B,AUBURN GRESHAM,71,48743,55928,-7185,-12.846875,0,1,17546554.268884927,1172232.84324865
B115,B,AUBURN GRESHAM,71,48743,55928,-7185,-12.846875,0,1,17546554.268884927,970727.6771941336
C225,C,AUBURN GRESHAM,71,48743,55928,-7185,-12.846875,0,1,17546554.268884927,175474.48305721435
C226,C,AUBURN GRESHAM,71,48743,55928,-7185,-12.846875,0,1,17546554.268884927,1627859.479021709
C227,C,AUBURN GRESHAM,71,48743,55928,-7185,-12.846875,0,1,17546554.268884927,250359.1784672297
C228,C,AUBURN GRESHAM,71,48743,55928,-7185,-12.846875,0,1,17546554.268884927,698341.3798753782
C229,C,AUBURN GRESHAM,71,48743,55928,-7185,-12.846875,0,1,17546554.268884927,563377.9425034006
C230,C,AUBURN GRESHAM,71,48743,55928,-7185,-12.846875,0,1,17546554.268884927,1892785.058670971
C231,C,AUBURN GRESHAM,71,48743,55928,-7185,-12.846875,0,1,17546554.268884927,186527.13669657763
C233,C,AUBURN GRESHAM,71,48743,55928,-7185,-12.846875,0,1,17546554.268884927,1519180.341441215
C234,C,AUBURN GRESHAM,71,48743,55928,-7185,-12.846875,0,1,17546554.268884927,1869485.4283949065
C235,C,AUBURN GRESHAM,71,48743,55928,-7185,-12.846875,0,1,17546554.268884927,871290.1092274043
D84,D,AUBURN GRESHAM,71,48743,55928,-7185,-12.846875,0,1,17546554.268884927,15302615.96137275
D87,D,AUBURN GRESHAM,71,48743,55928,-7185,-12.846875,0,1,17546554.268884927,905455.8453819465
D88,D,AUBURN GRESHAM,71,48743,55928,-7185,-12.846875,0,1,17546554.268884927,720028.8850246351
D91,D,AUBURN GRESHAM,71,48743,55928,-7185,-12.846875,0,1,17546554.268884927,622679.5772229043
D92,D,AUBURN GRESHAM,71,48743,55928,-7185,-12.846875,0,1,17546554.268884927,1581752.2466806811
D93,D,AUBURN GRESHAM,71,48743,55928,-7185,-12.846875,0,1,17546554.268884927,644158.3697249126
B116,B,WASHINGTON HEIGHTS,73,26493,29843,-3350,-11.225413,0,1,13288660.69880856,400560.7476309611
B117,B,WASHINGTON HEIGHTS,73,26493,29843,-3350,-11.225413,0,1,13288660.69880856,1858293.1285969254
C233,C,WASHINGTON HEIGHTS,73,26493,29843,-3350,-11.225413,0,1,13288660.69880856,1519180.341441215
C234,C,WASHINGTON HEIGHTS,73,26493,29843,-3350,-11.225413,0,1,13288660.69880856,1869485.4283949065
C255,C,WASHINGTON HEIGHTS,73,26493,29843,-3350,-11.225413,0,1,13288660.69880856,789079.7292454711
