station,loc
Oak Lawn,POINT (-87.749149888162 41.71939709030534)
Chicago Ridge,POINT (-87.77977882293476 41.70394878497401)
Willow Springs,POINT (-87.87848331593389 41.73325705946617)
Grayland,POINT (-87.74617167996213 41.960138058946946)
Mayfair,POINT (-87.7401227290391 41.94852089050491)
Healy,POINT (-87.7401227290391 41.94852089050491)
Grayland,POINT (-87.72791224301655 41.9248554705849)
Pacific Junction,POINT (-87.72791224301655 41.9248554705849)
Healty,POINT (-87.72139021208831 41.91224735500227)
Clybourn,POINT (-87.67444423743741 41.96815344052667)
Ravenswood,POINT (-87.66805367356315 41.91721478608723)
Hanson Park,POINT (-87.78473387100063 41.9163977229123)
Galewood,POINT (-87.7676280503365 41.916562143443834)
Mars,POINT (-87.80115482592782 41.92163627541178)
Mont Clare,POINT (-87.79453332697823 41.91925273716994)
Mont Clare,POINT (-87.81478351190806 41.924944949240334)
Elmwood Park,POINT (-87.80115482592782 41.92163627541178)
Jefferson Park,POINT (-87.77788773049683 41.97975226900321)
Gladstone Park,POINT (-87.76334440029291 41.971506048591536)
Ravenswood,POINT (-87.6755262554963 42.00964911919761)
Rogers Park,POINT (-87.67444423743741 41.96815344052667)
Davis St.,POINT (-87.69810101322233 42.06398743100949)
Central St.,POINT (-87.68482158110422 42.048064383418094)
Edison Park,POINT (-87.83174949764555 42.010208932543414)
Park Ridge,POINT (-87.81770709333972 42.00223070288584)
Blue Island Vermont St.,POINT (-87.677495217991 41.65470447372012)
Deval,POINT (-87.90806385144307 42.09291087470355)
Prospect Heights,POINT (-87.89772597143424 42.04716866435602)
College Ave.,POINT (-88.08881241427699 41.869038105118335)
Pacific Junction,POINT (-87.73191109045146 41.91354193528813)
Hermosa,POINT (-87.72139021208831 41.91224735500227)
Hermosa,POINT (-87.75343278376904 41.91529665676598)
Cragin,POINT (-87.73191109045146 41.91354193528813)
Cragin,POINT (-87.7676280503365 41.916562143443834)
Hanson Park,POINT (-87.75343278376904 41.91529665676598)
