src_station,dest_stations
Clark/Lake,Tower 18
Foster,Davis
Davis,Foster
Sedgwick,Chicago/Franklin
Chicago/Franklin,Sedgwick
Adams/Wabash,Tower 12
Tower 12,Adams/Wabash
LaSalle/Van Buren,Quincy/Wells
Quincy/Wells,LaSalle/Van Buren
Quincy/Wells,Washington/Wells
Washington/Wells,Quincy/Wells
Cumberland,Harlem-O'Hare
Harlem-O'Hare,Cumberland
Garfield-Dan Ryan,47th-Dan Ryan
47th-Dan Ryan,Garfield-Dan Ryan
Belmont-O'Hare,Logan Square
Logan Square,Belmont-O'Hare
Sox-35th-Dan Ryan,Cermak-Chinatown
Cermak-Chinatown,Sox-35th-Dan Ryan
Jackson/Dearborn,LaSalle
LaSalle,Jackson/Dearborn
Dempster-Skokie,Oakton-Skokie
Oakton-Skokie,Dempster-Skokie
Morgan,Clinton-Lake
Clinton-Lake,Morgan
Cermak-McCormick Place,17th Junction
17th Junction,Cermak-McCormick Place
35-Bronzeville-IIT,Cermak-McCormick Place
Cermak-McCormick Place,35-Bronzeville-IIT
59th Junction,Garfield-South Elevated
Garfield-South Elevated,59th Junction
Logan Square,California/Milwaukee
California/Milwaukee,Logan Square
