src_station,dest_stations
Mayfair,Forest Glen
Forest Glen,Mayfair
Irving Park,Jefferson Park
Jefferson Park,Irving Park
Des Plaines,Cumberland
Cumberland,Des Plaines
Elmwood Park,River Grove
River Grove,Elmwood Park
Bellwood,Berkeley
Berkeley,Bellwood
Melrose Park,Bellwood
Bellwood,Melrose Park
83rd St.,87th St.
87th St.,83rd St.
87th St.,91st St.
91st St.,87th St.
83rd St.,87th St.
87th St.,83rd St.
91st St.,95th St.
95th St.,91st St.
Gresham Junction,Brainerd
Brainerd,Gresham Junction
Gresham,Gresham Junction
Gresham Junction,Gresham
South Shore,Windsor Park
Windsor Park,South Shore
Bryn Mawr,South Shore
South Shore,Bryn Mawr
53rd St.,55th-56th-57th St.
55th-56th-57th St.,53rd St.
47th St.,53rd St.
53rd St.,47th St.
27th St.,47th St.
47th St.,27th St.
79th St.,83rd St.
83rd St.,79th St.
67th St. Junction,75th Street
75th Street,67th St. Junction
55th-56th-57th St.,59th St.
59th St.,55th-56th-57th St.
Wrightwood,Ashburn
Ashburn,Wrightwood
Elmhurst,Villa Park
Villa Park,Elmhurst
Villa Park,Lombard
Lombard,Villa Park
Glen Ellyn,College Ave.
College Ave.,Glen Ellyn
Wood Dale,Itasca
Itasca,Wood Dale
Rogers Park,Main St.
Main St.,Rogers Park
Kenilworth,Indian Hill
Indian Hill,Kenilworth
Winnetka,Hubbard Woods
Hubbard Woods,Winnetka
Norwood Park,Edison Park
Edison Park,Norwood Park
Dee Road,Des Plaines
Des Plaines,Dee Road
Cumberland,Mount Prospect
Mount Prospect,Cumberland
O'Hare,Deval
Deval,O'Hare
Clinton St. Junction,Western Ave. Interlocking
Western Ave. Interlocking,Clinton St. Junction
87th St.,91st St.
91st St.,87th St.
Brainerd,91st St.
91st St.,Brainerd
Gresham Junction,Longwood
Longwood,Gresham Junction
Asburn,Oak Lawn
Oak Lawn,Asburn
Cheltenham,83rd St.
83rd St.,Cheltenham
Windsor Park,Cheltenham
Cheltenham,Windsor Park
67th St. Junction,Bryn Mawr
Bryn Mawr,67th St. Junction
Stony Island,Bryn Mawr
Bryn Mawr,Stony Island
63rd St.,67th St. Junction
67th St. Junction,63rd St.
McCormick Place,27th St.
