station,loc,x,y
Western-Douglas,POINT (-87.69482291472026 41.854279630742006),-87.69482291472026,41.854279630742006
Kedzie-Douglas,POINT (-87.69482291472026 41.854279630742006),-87.69482291472026,41.854279630742006
Pulaski-Douglas,POINT (-87.71488026395213 41.85399195511931),-87.71488026395213,41.85399195511931
Central Park,POINT (-87.72432672566907 41.85385683183436),-87.72432672566907,41.85385683183436
LaSalle/Van Buren,POINT (-87.62820914531717 41.87690834080102),-87.62820914531717,41.87690834080102
Merchandise Mart,POINT (-87.63397336106888 41.88896793365754),-87.63397336106888,41.88896793365754
Washington/Wells,POINT (-87.63391317485689 41.885724525920224),-87.63391317485689,41.885724525920224
Kimball,POINT (-87.71314203602243 41.9679281517159),-87.71314203602243,41.9679281517159
Irving Park-Ravenswood,POINT (-87.67495574415597 41.95452313989989),-87.67495574415597,41.95452313989989
Ridgeland,POINT (-87.79378335111714 41.88698752106858),-87.79378335111714,41.88698752106858
59th Junction,POINT (-87.61554588347299 41.78012971710982),-87.61554588347299,41.78012971710982
Ashland/63rd,POINT (-87.64402312797168 41.77902786837383),-87.64402312797168,41.77902786837383
Halsted/63rd,POINT (-87.66384484753455 41.77895340597569),-87.66384484753455,41.77895340597569
17th Junction,POINT (-87.62658988683127 41.86740496003978),-87.62658988683127,41.86740496003978
Halsted-Midway,POINT (-87.6481311050526 41.846901440955335),-87.6481311050526,41.846901440955335
Damen,POINT (-87.66916012510731 41.85790770848294),-87.66916012510731,41.85790770848294
Kostner,POINT (-87.72432672566907 41.85385683183436),-87.72432672566907,41.85385683183436
Cicero-Douglas,POINT (-87.7332636592118 41.853750687438776),-87.7332636592118,41.853750687438776
54/Cermak,POINT (-87.7453420101025 41.8519247156202),-87.7453420101025,41.8519247156202
Austin-Congress,POINT (-87.7767852694845 41.870886393980996),-87.7767852694845,41.870886393980996
Cicero-Congress,POINT (-87.74517217786806 41.87160805074333),-87.74517217786806,41.87160805074333
Central-Evanston,POINT (-87.68561725637996 42.063986542750264),-87.68561725637996,42.063986542750264
Chicago/Franklin,POINT (-87.63594665688609 41.896774171986465),-87.63594665688609,41.896774171986465
Western-Congress,POINT (-87.68843451162851 41.875529573950296),-87.68843451162851,41.875529573950296
Chicago/Milwaukee,POINT (-87.65521427824042 41.89607523728479),-87.65521427824042,41.89607523728479
Harlem-O'Hare,POINT (-87.80889493576537 41.982323370447915),-87.80889493576537,41.982323370447915
Jefferson Park,POINT (-87.76089227876042 41.97063413861879),-87.76089227876042,41.97063413861879
O'Hare Airport,POINT (-87.90184839902511 41.9788767385307),-87.90184839902511,41.9788767385307
Subway Portal A,POINT (-87.89562339798047 41.9811871543649),-87.89562339798047,41.9811871543649
Oak Park-Congress,POINT (-87.79160214915936 41.87210797391503),-87.79160214915936,41.87210797391503
Jackson/Dearborn,POINT (-87.62937769987941 41.880703460402344),-87.62937769987941,41.880703460402344
Monroe/Dearborn,POINT (-87.62929566423178 41.87818251741015),-87.62929566423178,41.87818251741015
Washington/Dearborn,POINT (-87.62944005933538 41.88316442525383),-87.62944005933538,41.88316442525383
Harrison,POINT (-87.62747911572588 41.874039243722045),-87.62747911572588,41.874039243722045
Racine,POINT (-87.66753106771759 41.875761829132365),-87.66753106771759,41.875761829132365
Belmont-O'Hare,POINT (-87.71235935115544 41.93813166960162),-87.71235935115544,41.93813166960162
Garfield-Dan Ryan,POINT (-87.63100044986264 41.7805343344608),-87.63100044986264,41.7805343344608
LaSalle,POINT (-87.64098421632434 41.87553890488235),-87.64098421632434,41.87553890488235
Armitage,POINT (-87.65264430674178 41.918216567267336),-87.65264430674178,41.918216567267336
Davis,POINT (-87.68354292615186 42.0477100939324),-87.68354292615186,42.0477100939324
Linden,POINT (-87.6907295181148 42.073152762174495),-87.6907295181148,42.073152762174495
Quincy/Wells,POINT (-87.63173383450321 41.87685533507945),-87.63173383450321,41.87685533507945
Logan Square,POINT (-87.70854138516744 41.92972804190881),-87.70854138516744,41.92972804190881
Dempster-Skokie,POINT (-87.75191862511345 42.03895069260297),-87.75191862511345,42.03895069260297
Cermak-McCormick Place,POINT (-87.62641798914866 41.85875871199813),-87.62641798914866,41.85875871199813
