holc_id,holc_grade,community,NID,POP2010,POP2000,POPCH,POPPERCH,popplus,popneg
C232,C,CHATHAM,44,31028,37275,-6247,-16.759222,0,1
C236,C,CHATHAM,44,31028,37275,-6247,-16.759222,0,1
C237,C,CHATHAM,44,31028,37275,-6247,-16.759222,0,1
C246,C,CHATHAM,44,31028,37275,-6247,-16.759222,0,1
D87,D,CHATHAM,44,31028,37275,-6247,-16.759222,0,1
D88,D,CHATHAM,44,31028,37275,-6247,-16.759222,0,1
D89,D,CHATHAM,44,31028,37275,-6247,-16.759222,0,1
D94,D,CHATHAM,44,31028,37275,-6247,-16.759222,0,1
D96,D,CHATHAM,44,31028,37275,-6247,-16.759222,0,1
D97,D,CHATHAM,44,31028,37275,-6247,-16.759222,0,1
D98,D,CHATHAM,44,31028,37275,-6247,-16.759222,0,1
B121,B,AVALON PARK,45,10185,11147,-962,-8.630125,0,1
C238,C,AVALON PARK,45,10185,11147,-962,-8.630125,0,1
C247,C,AVALON PARK,45,10185,11147,-962,-8.630125,0,1
C248,C,AVALON PARK,45,10185,11147,-962,-8.630125,0,1
D89,D,AVALON PARK,45,10185,11147,-962,-8.630125,0,1
B122,B,MOUNT GREENWOOD,74,19093,18820,273,1.450584,1,0
D104,D,MOUNT GREENWOOD,74,19093,18820,273,1.450584,1,0
B123,B,MORGAN PARK,75,22544,25226,-2682,-10.631888,0,1
B124,B,MORGAN PARK,75,22544,25226,-2682,-10.631888,0,1
B125,B,MORGAN PARK,75,22544,25226,-2682,-10.631888,0,1
B126,B,MORGAN PARK,75,22544,25226,-2682,-10.631888,0,1
C252,C,MORGAN PARK,75,22544,25226,-2682,-10.631888,0,1
C253,C,MORGAN PARK,75,22544,25226,-2682,-10.631888,0,1
C254,C,MORGAN PARK,75,22544,25226,-2682,-10.631888,0,1
C256,C,MORGAN PARK,75,22544,25226,-2682,-10.631888,0,1
C257,C,MORGAN PARK,75,22544,25226,-2682,-10.631888,0,1
C268,C,MORGAN PARK,75,22544,25226,-2682,-10.631888,0,1
D104,D,MORGAN PARK,75,22544,25226,-2682,-10.631888,0,1
D105,D,MORGAN PARK,75,22544,25226,-2682,-10.631888,0,1
D106,D,MORGAN PARK,75,22544,25226,-2682,-10.631888,0,1
D109,D,MORGAN PARK,75,22544,25226,-2682,-10.631888,0,1
D110,D,MORGAN PARK,75,22544,25226,-2682,-10.631888,0,1
D111,D,MORGAN PARK,75,22544,25226,-2682,-10.631888,0,1
D112,D,MORGAN PARK,75,22544,25226,-2682,-10.631888,0,1
B127,B,ROSELAND,49,44619,52723,-8104,-15.370901,0,1
B128,B,ROSELAND,49,44619,52723,-8104,-15.370901,0,1
B129,B,ROSELAND,49,44619,52723,-8104,-15.370901,0,1
C235,C,ROSELAND,49,44619,52723,-8104,-15.370901,0,1
C246,C,ROSELAND,49,44619,52723,-8104,-15.370901,0,1
C257,C,ROSELAND,49,44619,52723,-8104,-15.370901,0,1
C258,C,ROSELAND,49,44619,52723,-8104,-15.370901,0,1
C259,C,ROSELAND,49,44619,52723,-8104,-15.370901,0,1
C260,C,ROSELAND,49,44619,52723,-8104,-15.370901,0,1
C261,C,ROSELAND,49,44619,52723,-8104,-15.370901,0,1
C262,C,ROSELAND,49,44619,52723,-8104,-15.370901,0,1
C264,C,ROSELAND,49,44619,52723,-8104,-15.370901,0,1
C265,C,ROSELAND,49,44619,52723,-8104,-15.370901,0,1
C266,C,ROSELAND,49,44619,52723,-8104,-15.370901,0,1
C269,C,ROSELAND,49,44619,52723,-8104,-15.370901,0,1
D113,D,ROSELAND,49,44619,52723,-8104,-15.370901,0,1
D120,D,ROSELAND,49,44619,52723,-8104,-15.370901,0,1
D94,D,ROSELAND,49,44619,52723,-8104,-15.370901,0,1
D96,D,ROSELAND,49,44619,52723,-8104,-15.370901,0,1
D97,D,ROSELAND,49,44619,52723,-8104,-15.370901,0,1
D98,D,ROSELAND,49,44619,52723,-8104,-15.370901,0,1
B128,B,WEST PULLMAN,53,29651,36649,-6998,-19.094655,0,1
C264,C,WEST PULLMAN,53,29651,36649,-6998,-19.094655,0,1
C269,C,WEST PULLMAN,53,29651,36649,-6998,-19.094655,0,1
C270,C,WEST PULLMAN,53,29651,36649,-6998,-19.094655,0,1
D111,D,WEST PULLMAN,53,29651,36649,-6998,-19.094655,0,1
D118,D,WEST PULLMAN,53,29651,36649,-6998,-19.094655,0,1
D119,D,WEST PULLMAN,53,29651,36649,-6998,-19.094655,0,1
D120,D,WEST PULLMAN,53,29651,36649,-6998,-19.094655,0,1
B44,B,WEST RIDGE,2,71942,73199,-1257,-1.717237,0,1
B62,B,WEST RIDGE,2,71942,73199,-1257,-1.717237,0,1
B63,B,WEST RIDGE,2,71942,73199,-1257,-1.717237,0,1
B65,B,WEST RIDGE,2,71942,73199,-1257,-1.717237,0,1
B69,B,WEST RIDGE,2,71942,73199,-1257,-1.717237,0,1
B70,B,WEST RIDGE,2,71942,73199,-1257,-1.717237,0,1
B72,B,WEST RIDGE,2,71942,73199,-1257,-1.717237,0,1
B73,B,WEST RIDGE,2,71942,73199,-1257,-1.717237,0,1
B74,B,WEST RIDGE,2,71942,73199,-1257,-1.717237,0,1
B77,B,WEST RIDGE,2,71942,73199,-1257,-1.717237,0,1
C24,C,WEST RIDGE,2,71942,73199,-1257,-1.717237,0,1
C67,C,WEST RIDGE,2,71942,73199,-1257,-1.717237,0,1
C71,C,WEST RIDGE,2,71942,73199,-1257,-1.717237,0,1
C72,C,WEST RIDGE,2,71942,73199,-1257,-1.717237,0,1
C73,C,WEST RIDGE,2,71942,73199,-1257,-1.717237,0,1
C75,C,WEST RIDGE,2,71942,73199,-1257,-1.717237,0,1
D4,D,WEST RIDGE,2,71942,73199,-1257,-1.717237,0,1
B44,B,ROGERS PARK,1,54991,63484,-8493,-13.378174,0,1
B70,B,ROGERS PARK,1,54991,63484,-8493,-13.378174,0,1
B71,B,ROGERS PARK,1,54991,63484,-8493,-13.378174,0,1
B75,B,ROGERS PARK,1,54991,63484,-8493,-13.378174,0,1
B76,B,ROGERS PARK,1,54991,63484,-8493,-13.378174,0,1
C64,C,ROGERS PARK,1,54991,63484,-8493,-13.378174,0,1
C65,C,ROGERS PARK,1,54991,63484,-8493,-13.378174,0,1
C66,C,ROGERS PARK,1,54991,63484,-8493,-13.378174,0,1
C67,C,ROGERS PARK,1,54991,63484,-8493,-13.378174,0,1
C68,C,ROGERS PARK,1,54991,63484,-8493,-13.378174,0,1
C69,C,ROGERS PARK,1,54991,63484,-8493,-13.378174,0,1
C70,C,ROGERS PARK,1,54991,63484,-8493,-13.378174,0,1
D4,D,ROGERS PARK,1,54991,63484,-8493,-13.378174,0,1
B48,B,EDISON PARK,9,11187,11259,-72,-0.639488,0,1
B52,B,EDISON PARK,9,11187,11259,-72,-0.639488,0,1
C34,C,EDISON PARK,9,11187,11259,-72,-0.639488,0,1
C37,C,EDISON PARK,9,11187,11259,-72,-0.639488,0,1
C38,C,EDISON PARK,9,11187,11259,-72,-0.639488,0,1
B51,B,NORWOOD PARK,10,37023,37669,-646,-1.714938,0,1
B52,B,NORWOOD PARK,10,37023,37669,-646,-1.714938,0,1
B53,B,NORWOOD PARK,10,37023,37669,-646,-1.714938,0,1
B54,B,NORWOOD PARK,10,37023,37669,-646,-1.714938,0,1
B55,B,NORWOOD PARK,10,37023,37669,-646,-1.714938,0,1
C34,C,NORWOOD PARK,10,37023,37669,-646,-1.714938,0,1
C35,C,NORWOOD PARK,10,37023,37669,-646,-1.714938,0,1
C36,C,NORWOOD PARK,10,37023,37669,-646,-1.714938,0,1
C37,C,NORWOOD PARK,10,37023,37669,-646,-1.714938,0,1
C38,C,NORWOOD PARK,10,37023,37669,-646,-1.714938,0,1
C39,C,NORWOOD PARK,10,37023,37669,-646,-1.714938,0,1
C40,C,NORWOOD PARK,10,37023,37669,-646,-1.714938,0,1
C41,C,NORWOOD PARK,10,37023,37669,-646,-1.714938,0,1
C44,C,NORWOOD PARK,10,37023,37669,-646,-1.714938,0,1
B54,B,JEFFERSON PARK,11,25448,25859,-411,-1.589389,0,1
C39,C,JEFFERSON PARK,11,25448,25859,-411,-1.589389,0,1
C40,C,JEFFERSON PARK,11,25448,25859,-411,-1.589389,0,1
C41,C,JEFFERSON PARK,11,25448,25859,-411,-1.589389,0,1
C42,C,JEFFERSON PARK,11,25448,25859,-411,-1.589389,0,1
C43,C,JEFFERSON PARK,11,25448,25859,-411,-1.589389,0,1
C44,C,JEFFERSON PARK,11,25448,25859,-411,-1.589389,0,1
C45,C,JEFFERSON PARK,11,25448,25859,-411,-1.589389,0,1
C46,C,JEFFERSON PARK,11,25448,25859,-411,-1.589389,0,1
C48,C,JEFFERSON PARK,11,25448,25859,-411,-1.589389,0,1
C49,C,JEFFERSON PARK,11,25448,25859,-411,-1.589389,0,1
B60,B,PORTAGE PARK,15,64124,65340,-1216,-1.861035,0,1
B82,B,PORTAGE PARK,15,64124,65340,-1216,-1.861035,0,1
C42,C,PORTAGE PARK,15,64124,65340,-1216,-1.861035,0,1
C43,C,PORTAGE PARK,15,64124,65340,-1216,-1.861035,0,1
C44,C,PORTAGE PARK,15,64124,65340,-1216,-1.861035,0,1
C46,C,PORTAGE PARK,15,64124,65340,-1216,-1.861035,0,1
C48,C,PORTAGE PARK,15,64124,65340,-1216,-1.861035,0,1
C49,C,PORTAGE PARK,15,64124,65340,-1216,-1.861035,0,1
C50,C,PORTAGE PARK,15,64124,65340,-1216,-1.861035,0,1
C53,C,PORTAGE PARK,15,64124,65340,-1216,-1.861035,0,1
C54,C,PORTAGE PARK,15,64124,65340,-1216,-1.861035,0,1
B62,B,LINCOLN SQUARE,4,39493,44574,-5081,-11.399022,0,1
B63,B,LINCOLN SQUARE,4,39493,44574,-5081,-11.399022,0,1
B65,B,LINCOLN SQUARE,4,39493,44574,-5081,-11.399022,0,1
B66,B,LINCOLN SQUARE,4,39493,44574,-5081,-11.399022,0,1
B67,B,LINCOLN SQUARE,4,39493,44574,-5081,-11.399022,0,1
C56,C,LINCOLN SQUARE,4,39493,44574,-5081,-11.399022,0,1
C58,C,LINCOLN SQUARE,4,39493,44574,-5081,-11.399022,0,1
C60,C,LINCOLN SQUARE,4,39493,44574,-5081,-11.399022,0,1
C71,C,LINCOLN SQUARE,4,39493,44574,-5081,-11.399022,0,1
C73,C,LINCOLN SQUARE,4,39493,44574,-5081,-11.399022,0,1
C75,C,LINCOLN SQUARE,4,39493,44574,-5081,-11.399022,0,1
C79,C,LINCOLN SQUARE,4,39493,44574,-5081,-11.399022,0,1
C80,C,LINCOLN SQUARE,4,39493,44574,-5081,-11.399022,0,1
C85,C,LINCOLN SQUARE,4,39493,44574,-5081,-11.399022,0,1
B64,B,ALBANY PARK,14,51542,57655,-6113,-10.602723,0,1
B67,B,ALBANY PARK,14,51542,57655,-6113,-10.602723,0,1
C47,C,ALBANY PARK,14,51542,57655,-6113,-10.602723,0,1
C50,C,ALBANY PARK,14,51542,57655,-6113,-10.602723,0,1
C51,C,ALBANY PARK,14,51542,57655,-6113,-10.602723,0,1
C55,C,ALBANY PARK,14,51542,57655,-6113,-10.602723,0,1
C57,C,ALBANY PARK,14,51542,57655,-6113,-10.602723,0,1
C59,C,ALBANY PARK,14,51542,57655,-6113,-10.602723,0,1
B67,B,IRVING PARK,16,53359,58643,-5284,-9.010453,0,1
B68,B,IRVING PARK,16,53359,58643,-5284,-9.010453,0,1
C110,C,IRVING PARK,16,53359,58643,-5284,-9.010453,0,1
C50,C,IRVING PARK,16,53359,58643,-5284,-9.010453,0,1
C51,C,IRVING PARK,16,53359,58643,-5284,-9.010453,0,1
C54,C,IRVING PARK,16,53359,58643,-5284,-9.010453,0,1
C57,C,IRVING PARK,16,53359,58643,-5284,-9.010453,0,1
C59,C,IRVING PARK,16,53359,58643,-5284,-9.010453,0,1
C60,C,IRVING PARK,16,53359,58643,-5284,-9.010453,0,1
C61,C,IRVING PARK,16,53359,58643,-5284,-9.010453,0,1
C62,C,IRVING PARK,16,53359,58643,-5284,-9.010453,0,1
C63,C,IRVING PARK,16,53359,58643,-5284,-9.010453,0,1
B68,B,AVONDALE,21,39262,43083,-3821,-8.868927,0,1
C110,C,AVONDALE,21,39262,43083,-3821,-8.868927,0,1
C111,C,AVONDALE,21,39262,43083,-3821,-8.868927,0,1
C112,C,AVONDALE,21,39262,43083,-3821,-8.868927,0,1
C117,C,AVONDALE,21,39262,43083,-3821,-8.868927,0,1
C54,C,AVONDALE,21,39262,43083,-3821,-8.868927,0,1
C59,C,AVONDALE,21,39262,43083,-3821,-8.868927,0,1
C61,C,AVONDALE,21,39262,43083,-3821,-8.868927,0,1
C62,C,AVONDALE,21,39262,43083,-3821,-8.868927,0,1
C63,C,AVONDALE,21,39262,43083,-3821,-8.868927,0,1
D3,D,AVONDALE,21,39262,43083,-3821,-8.868927,0,1
D9,D,AVONDALE,21,39262,43083,-3821,-8.868927,0,1
B75,B,EDGEWATER,77,56521,62198,-5677,-9.127303,0,1
B78,B,EDGEWATER,77,56521,62198,-5677,-9.127303,0,1
C68,C,EDGEWATER,77,56521,62198,-5677,-9.127303,0,1
C72,C,EDGEWATER,77,56521,62198,-5677,-9.127303,0,1
C74,C,EDGEWATER,77,56521,62198,-5677,-9.127303,0,1
C75,C,EDGEWATER,77,56521,62198,-5677,-9.127303,0,1
C76,C,EDGEWATER,77,56521,62198,-5677,-9.127303,0,1
C77,C,EDGEWATER,77,56521,62198,-5677,-9.127303,0,1
C78,C,EDGEWATER,77,56521,62198,-5677,-9.127303,0,1
C81,C,EDGEWATER,77,56521,62198,-5677,-9.127303,0,1
C82,C,EDGEWATER,77,56521,62198,-5677,-9.127303,0,1
C83,C,EDGEWATER,77,56521,62198,-5677,-9.127303,0,1
D4,D,EDGEWATER,77,56521,62198,-5677,-9.127303,0,1
B80,B,MONTCLARE,18,13426,12646,780,6.167958,1,0
C95,C,MONTCLARE,18,13426,12646,780,6.167958,1,0
C98,C,MONTCLARE,18,13426,12646,780,6.167958,1,0
B80,B,DUNNING,17,41932,42164,-232,-0.550232,0,1
B82,B,DUNNING,17,41932,42164,-232,-0.550232,0,1
C41,C,DUNNING,17,41932,42164,-232,-0.550232,0,1
C42,C,DUNNING,17,41932,42164,-232,-0.550232,0,1
C52,C,DUNNING,17,41932,42164,-232,-0.550232,0,1
C53,C,DUNNING,17,41932,42164,-232,-0.550232,0,1
C94,C,DUNNING,17,41932,42164,-232,-0.550232,0,1
C95,C,DUNNING,17,41932,42164,-232,-0.550232,0,1
C96,C,DUNNING,17,41932,42164,-232,-0.550232,0,1
B81,B,AUSTIN,25,98514,117527,-19013,-16.177559,0,1
B93,B,AUSTIN,25,98514,117527,-19013,-16.177559,0,1
C104,C,AUSTIN,25,98514,117527,-19013,-16.177559,0,1
C105,C,AUSTIN,25,98514,117527,-19013,-16.177559,0,1
C106,C,AUSTIN,25,98514,117527,-19013,-16.177559,0,1
C107,C,AUSTIN,25,98514,117527,-19013,-16.177559,0,1
C108,C,AUSTIN,25,98514,117527,-19013,-16.177559,0,1
C109,C,AUSTIN,25,98514,117527,-19013,-16.177559,0,1
C138,C,AUSTIN,25,98514,117527,-19013,-16.177559,0,1
